,name_i,name_j,rural_m,rural_f,urban_m,urban_f,mig_total,pop_total_i,pop_urban_i,pop_rural_i,pop_f_i,pop_m_i,pop_total_j,pop_urban_j,pop_rural_j,pop_f_j,pop_m_j,lit_rate_total_i,lit_rate_urban_i,lit_rate_rural_i,lit_rate_f_i,lit_rate_m_i,lit_rate_total_j,lit_rate_urban_j,lit_rate_rural_j,lit_rate_f_j,lit_rate_m_j,macroregion_i,pop_rate_i,industry_pc_i,macroregion_j,pop_rate_j,industry_pc_j,distance_capitals,distance_centroids
0,Астраханская губерния,Архангельская губерния,10,0,7,3,20,1003542.0,132502.0,871040.0,490089.0,513453.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.1381287479746737,0.3860696442317852,0.1004121509919177,0.0736192813958281,0.1997027965558678,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.286941652666256,7.018042094899864,European Russia,1.8044301313572038,26.479211395064294,2093.6174683526324,2247.5873774277056
1,Бессарабская губерния,Архангельская губерния,3,4,6,6,19,1935412.0,293332.0,1642080.0,944173.0,991239.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.15561234507174698,0.3284435383797199,0.1247387459807074,0.08833656543874904,0.2196937368283532,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.8729345483028939,4.671873482235307,European Russia,1.8044301313572038,26.479211395064294,2089.805591036357,2555.7091595862644
2,Виленская губерния,Архангельская губерния,11,1,145,25,182,1591207.0,198007.0,1393200.0,800327.0,790880.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.28831383974555164,0.5138303191301318,0.256262561010623,0.2297635841349848,0.3475634735990289,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.5789271917481509,6.898536771142912,European Russia,1.8044301313572038,26.479211395064294,1393.4902927508044,1822.1966252522325
3,Витебская губерния,Архангельская губерния,24,9,141,12,186,1489246.0,215919.0,1273327.0,752364.0,736882.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.24640254195747374,0.4592740796317138,0.2103057580652888,0.1954147194708944,0.2984616261490985,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.7769394713835054,3.0948547117131757,European Russia,1.8044301313572038,26.479211395064294,1197.999682135158,1606.1594415027198
4,Владимирская губерния,Архангельская губерния,67,30,59,35,191,1515691.0,190618.0,1325073.0,825379.0,690312.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.2703215892949157,0.4795822010513173,0.2402184634355994,0.13417230145181788,0.4331099560778315,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.6738240182200725,125.07496580767452,European Russia,1.8044301313572038,26.479211395064294,951.2446687179128,1322.6181887847804
5,Вологодская губерния,Архангельская губерния,1905,745,896,547,4093,1341785.0,62982.0,1278803.0,706121.0,635664.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.1908316160934874,0.5399320440760852,0.1736381600606192,0.06749693041277627,0.3278367187696645,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.5923564505490821,3.107055154141684,European Russia,1.8044301313572038,26.479211395064294,604.1632449455188,659.4719326939846
6,Волынская губерния,Архангельская губерния,14,15,12,6,47,2989482.0,233847.0,2755635.0,1486679.0,1502803.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.1715721987956442,0.41374060817543096,0.15102145240570686,0.09841599968789497,0.2439434842757168,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,2.200448104387315,7.0483113796972185,European Russia,1.8044301313572038,26.479211395064294,1750.8907017914637,2206.077555455561
7,Воронежская губерния,Архангельская губерния,12,0,9,4,25,2531253.0,169632.0,2361621.0,1279908.0,1251345.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.16266291832543014,0.4441084229390681,0.14244707342964855,0.06399366204445944,0.26358438320367283,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,2.4178539245188055,5.419055305810995,European Russia,1.8044301313572038,26.479211395064294,1453.6994855597932,1895.3043012412525
8,Вятская губерния,Архангельская губерния,181,6,75,55,317,3030831.0,95642.0,2935189.0,1604472.0,1426359.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.1600234391162028,0.5200957738232157,0.14829062114909808,0.0747928290428253,0.2558970076958185,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.897433410176945,5.120047934048451,European Russia,1.8044301313572038,26.479211395064294,824.3848896771527,1072.0301130391272
9,Гродненская губерния,Архангельская губерния,7,5,28,20,60,1603409.0,254591.0,1348818.0,787576.0,815833.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.29157064728961857,0.4835166993334407,0.2553406019196067,0.19612456448647492,0.38371088200648906,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.5672857019013866,11.17044996005386,European Russia,1.8044301313572038,26.479211395064294,1539.5498818822066,2050.9758688123097
10,Область войска Донского,Архангельская губерния,0,1,6,0,7,2564238.0,318693.0,2245545.0,1269918.0,1294320.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.2241469005607124,0.42935677909461456,0.19502303449719333,0.09752991925462903,0.34837675381667593,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,2.409331739097541,14.594082140581335,European Russia,1.8044301313572038,26.479211395064294,1923.9875933937265,2155.446276187265
11,Екатеринославская губерния,Архангельская губерния,4,3,6,3,16,2113674.0,241005.0,1872669.0,1021959.0,1091715.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.21492623744248168,0.4245057156490529,0.18795419799227733,0.10777046828688823,0.3152352033268756,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,3.1158068841268807,67.85819383689254,European Russia,1.8044301313572038,26.479211395064294,1839.747934680162,2254.6186116435974
12,Казанская губерния,Архангельская губерния,37,8,50,22,117,2170665.0,185588.0,1985077.0,1111277.0,1059388.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.17857108305519276,0.4810601978576201,0.15029089551689934,0.11093813693615544,0.2495167020959271,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.896930203416925,9.373118376165829,European Russia,1.8044301313572038,26.479211395064294,1093.406148895189,1326.3444725591025
13,Калужская губерния,Архангельская губерния,9,8,43,24,84,1132843.0,95295.0,1037548.0,631270.0,501573.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.19427052115783036,0.5199958025080015,0.16435384194273422,0.08620558556560584,0.3302789424470615,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,0.8443358876737553,11.776124317314933,European Russia,1.8044301313572038,26.479211395064294,1155.3480995996758,1604.1988324327194
14,Киевская губерния,Архангельская губерния,7,3,22,7,39,3559229.0,459253.0,3099976.0,1791941.0,1767288.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.18129516251974795,0.4581984222204319,0.14027269888541072,0.08882323692576932,0.2750570365441286,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,2.1755835322762316,20.480250076631766,European Russia,1.8044301313572038,26.479211395064294,1690.3815302606804,2215.961611871962
15,Ковенская губерния,Архангельская губерния,16,6,66,16,104,1544564.0,143144.0,1401420.0,792513.0,752051.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.4193539406589821,0.4742636785335047,0.4137453440082202,0.4109484639368692,0.4282116505396576,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.228955226199756,3.7411204715375987,European Russia,1.8044301313572038,26.479211395064294,1418.521420920349,1804.1305040210043
16,Костромская губерния,Архангельская губерния,43,9,37,36,125,1387015.0,94365.0,1292650.0,763912.0,623103.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.23996712364321945,0.5183807555767499,0.21964259466986424,0.12251934777827812,0.3839557825913212,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.6187279878011411,41.480445416956556,European Russia,1.8044301313572038,26.479211395064294,767.3469654560847,1088.9447571868461
17,Курляндская губерния,Архангельская губерния,10,23,15,7,55,674034.0,155761.0,518273.0,347782.0,326252.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.7085740481934146,0.6871489012011993,0.7150131301456955,0.7051486275885468,0.712225518924022,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,0.8745849615894746,28.872134046650466,European Russia,1.8044301313572038,26.479211395064294,1266.0455193021412,1741.1494127295364
18,Курская губерния,Архангельская губерния,8,5,17,6,36,2371012.0,221527.0,2149485.0,1204822.0,1166190.0,346536.0,34044.0,312492.0,182752.0,163784.0,0.16339056909032934,0.3934779959102051,0.13967764371465724,0.06576158137882608,0.2642536807895797,0.23377369162222686,0.5202678886147338,0.20256198558683106,0.11717518823323413,0.36387559224344257,European Russia,1.821247636030522,9.321462734056174,European Russia,1.8044301313572038,26.479211395064294,1465.5455734144987,1901.8326260540478
