name,lit_rate_rural,lit_rate_urban,lit_rate_m,lit_rate_f,lit_rate_total
Область войска Донского,0.19502303449719333,0.42935677909461456,0.34837675381667593,0.09752991925462903,0.22414690056071238
Тифлисская губерния,0.08161469604326124,0.4611558924536024,0.19507617556438733,0.12372761966840838,0.16279142785376657
Орловская губерния,0.13869783605897898,0.4530056391593718,0.28657506607669675,0.07328141376582505,0.17640739149119036
Самарская губерния,0.20901571999780905,0.4136689288727163,0.3032991524583444,0.14121743155572763,0.22083089815275198
Нижегородская губерния,0.19198914092178704,0.5030867434332418,0.343512875654663,0.110700017969623,0.22006670982739496
Астраханская губерния,0.1004121509919177,0.3860696442317852,0.1997027965558678,0.0736192813958281,0.1381287479746737
Екатеринославская губерния,0.18795419799227733,0.42450571564905293,0.3152352033268756,0.10777046828688822,0.21492623744248168
Бессарабская губерния,0.1247387459807074,0.3284435383797199,0.2196937368283532,0.08833656543874904,0.155612345071747
Плоцкая губерния,0.3094203645927339,0.4703469066264719,0.3482724594778924,0.32197524291228535,0.3350685381832369
Санкт-Михельская губерния,,,,,
Казанская губерния,0.15029089551689934,0.4810601978576201,0.24951670209592708,0.11093813693615544,0.17857108305519276
Московская губерния,0.26667818753138983,0.5566951873354831,0.5481145639142206,0.25499168671376704,0.40203268272071574
Ковенская губерния,0.4137453440082202,0.4742636785335047,0.42821165053965754,0.4109484639368692,0.41935394065898207
Люблинская губерния,0.2084697721030807,0.4237302890115903,0.29291597241173567,0.1818342704848949,0.23829676512197348
Варшавская губерния,0.30079217834319877,0.507381900826153,0.42700225369856065,0.35445672011984247,0.391180655811192
Ломжинская губерния,0.27418536832762774,0.44553886453544317,0.351509383101432,0.23687501119650312,0.29630671230796835
Харьковская губерния,0.1278693893993006,0.40328793525397244,0.25958736886435113,0.07622095712995042,0.1684633890726537
Саратовская губерния,0.21026437307993207,0.4256159767920426,0.34562600485053274,0.13532165404681187,0.2379728567574836
Симбирская губерния,0.13590163114638057,0.4179307536395524,0.25449267329666664,0.06584733002144094,0.15584665490284375
Пензенская губерния,0.12372279120661098,0.364242909652598,0.23709829075610678,0.06345737324182563,0.14659558754524052
Гродненская губерния,0.25534060191960667,0.4835166993334407,0.38371088200648906,0.19612456448647494,0.29157064728961857
Волынская губерния,0.15102145240570686,0.41374060817543096,0.24394348427571677,0.09841599968789497,0.1715721987956442
Могилёвская губерния,0.14237222301969957,0.45304952203659293,0.25801689038166464,0.08418133944223664,0.16948191922521466
Лифляндская губерния,0.7928659763287843,0.7387474690176243,0.774889204942285,0.7789991529386455,0.7770064608481836
Тульская губерния,0.1708417636892413,0.4723339923246889,0.34128335660975206,0.0890310611429163,0.20737028833581317
Калужская губерния,0.16435384194273422,0.5199958025080015,0.3302789424470615,0.08620558556560584,0.19427052115783033
Рязанская губерния,0.17927161430159,0.42824093151394566,0.3397877326897111,0.08214266714095116,0.2027393246905442
Санкт-Петербургская губерния,0.3933563191748276,0.6282779076253048,0.6522833991051231,0.43748492661342,0.5514980116314471
Владимирская губерния,0.2402184634355994,0.47958220105131727,0.4331099560778315,0.13417230145181788,0.2703215892949157
Радомская губерния,0.20044017422280427,0.3852140077821012,0.2497779549217737,0.19668639748542222,0.22316543284409907
Петроковская губерния,0.2585903547758809,0.39673705877868415,0.3476278733488644,0.27076209138305474,0.3089291908759948
Келецкая губерния,0.21411147886112208,0.3499474446748672,0.2586432967621086,0.1958819969353198,0.2266615922676658
Калишская губерния,0.25909840533808076,0.40380371060073106,0.294548937484318,0.2640052193218167,0.2790659495572789
Сувалкская губерния,0.35474851010770425,0.5038969150553987,0.4165743130803945,0.33166367302673944,0.37359262874562754
Витебская губерния,0.2103057580652888,0.45927407963171374,0.2984616261490985,0.19541471947089442,0.24640254195747377
Смоленская губерния,0.1435155911773418,0.5143885189627363,0.286373306522838,0.07143398293264842,0.17291131655257824
Выборгская губерния,,,,,
Псковская губерния,0.034833131533296056,1.75309237169068,0.22544252379399293,0.07238902666106044,0.14598014642921742
Тавастгусская губерния,,,,,
Вазаская губерния,,,,,
Або-Бьёрнеборгская губерния,,,,,
Улеаборгская губерния,,,,,
Куопиоская губерния,,,,,
Олонецкая губерния,0.1941219201058326,0.5172494903559668,0.3474184418639863,0.10016213014061671,0.21675600566790057
Пермская губерния,0.1730154179646411,0.4862522931431535,0.2826360785599018,0.10758420206694472,0.19177624701850382
Вологодская губерния,0.1736381600606192,0.5399320440760852,0.32783671876966447,0.06749693041277628,0.1908316160934874
Костромская губерния,0.21964259466986424,0.5183807555767499,0.3839557825913212,0.12251934777827812,0.23996712364321943
Вятская губерния,0.14829062114909808,0.5200957738232157,0.2558970076958185,0.0747928290428253,0.1600234391162028
Тамбовская губерния,0.13997142120120468,0.44387971573029733,0.2671835713127908,0.0699207918356776,0.16559092111489065
Воронежская губерния,0.14244707342964855,0.4441084229390681,0.26358438320367283,0.06399366204445944,0.16266291832543014
Курская губерния,0.13967764371465724,0.3934779959102051,0.2642536807895797,0.06576158137882608,0.16339056909032937
Терская область,0.09070289769599749,0.37306743969079037,0.18863475352576775,0.06024738607572351,0.12699799557999691
Кубанская область,0.15153389374750026,0.2916350222415103,0.2666658444867182,0.06586083746186003,0.16768470791049575
Ставропольская губерния,0.12729856404597886,0.29747666365552544,0.2223249411240747,0.06171365127052029,0.14347744935594944
Черниговская губерния,0.16204790172002406,0.3842198488443708,0.29752765720088387,0.07297919362799557,0.18229922353639527
Полтавская губерния,0.14448868286008346,0.39823692825945883,0.27792165714157024,0.06310091523189014,0.16954190035026895
Киевская губерния,0.14027269888541072,0.4581984222204319,0.2750570365441286,0.08882323692576932,0.18129516251974795
Подольская губерния,0.14080850971006237,0.33807184387253797,0.23838798358500338,0.07258263414969594,0.15530900020176927
Херсонская губерния,0.18611710475704651,0.4386369397688096,0.3500939698682566,0.1632297312609417,0.258997985083472
Таврическая губерния,0.23666392167627412,0.4482054224446626,0.3691328309762403,0.17849415900470958,0.2789368623902638
Кутаисская губерния,0.11536704051627678,0.45344353747077404,0.19452269683205217,0.09467170659889097,0.14652049958374322
Карсская область,0.0658739953167521,0.38810190813467943,0.17449601733812456,0.02552216661669857,0.1078223592312509
Эриванская губерния,0.03744135164866467,0.2718715812961017,0.10330874948233607,0.018190869999251937,0.06353157592736355
Елизаветпольская губерния,0.030623856373137883,0.2004391714000829,0.07351482879594677,0.01699284392938808,0.047879419181138756
Оренбургская губерния,0.1874727124011429,0.36447991821809816,0.2957817808914662,0.11435388541793262,0.20435335547715988
Уфимская губерния,0.15695729606349185,0.37097751227831466,0.21868304396857774,0.11693007396726358,0.167411895065286
Самаркандская область,0.016599789156460258,0.11213261105732635,0.051301426838793254,0.007652653143367271,0.03163062297315996
Ферганская область,0.012600011181374314,0.08504772153412248,0.04208488731051835,0.006278369792644186,0.02570324396042778
Тургайская область,0.036117782090226466,0.24439324116743472,0.07520073276387272,0.011819156689707677,0.04508883674153537
Акмолинская область,0.07358815245716091,0.3493819563356164,0.15625897983446116,0.04694700988261721,0.10379016946768863
Минская губерния,0.14550189423491008,0.45151036920136034,0.2544179457569113,0.10131184519039563,0.177553674507746
Виленская губерния,0.256262561010623,0.5138303191301318,0.34756347359902895,0.22976358413498482,0.28831383974555164
Ярославская губерния,0.3328983995373198,0.5434420066981067,0.5223959339726485,0.2404274688174367,0.36165136672718196
Новгородская губерния,0.20977845612195214,0.5320931320931321,0.36452467475889744,0.10723499939171133,0.22993046198232361
Тверская губерния,0.2178359801928435,0.5261195717488645,0.39904303211689846,0.1188676629890699,0.2448055122983831
Семипалатинская область,0.04038076374936121,0.27116062252239026,0.09178931910090195,0.02101676460097246,0.05874903226748857
Семиреченская область,0.030080366400724843,0.21519992377806713,0.06593350528613134,0.014128481973103556,0.04188131350197345
Томская губерния,0.08547363297528321,0.36321923536906614,0.1652871512747263,0.0427679299029663,0.10390630390225758
Иркутская губерния,0.11227052840486232,0.43406322159407595,0.2181962135004871,0.07552833613669292,0.1515632929976063
Амурская область,0.1934561916956283,0.39465188524090883,0.34664342527355024,0.11943424870765032,0.24836666500423918
Эстляндская губерния,0.7956649336332623,0.813352187958122,0.7921880944029168,0.8054938732424504,0.7989682978125394
Седлецкая губерния,0.29709052069915515,0.3731042744628247,0.35493196315765085,0.26184580900750626,0.30867737448617233
Сахалин,0.3686340813607952,,,,0.25593141962793015
Закаспийская область,0.026276386483074485,0.439859588795759,0.10939719147095063,0.024186188908972086,0.07155798759173515
Дагестанская область,0.07933574780598883,0.24776380388728225,0.16102499655816352,0.02504906643508467,0.0924899414168508
Бакинская губерния,0.030443673949820397,0.26442542427718463,0.11069608025061946,0.038621894420468136,0.07855660226728405
Черноморская губерния,0.23632951872505747,0.4584287969044346,0.4003910743041178,0.17716500748832703,0.3122238073697763
Уральская область,0.09875873203773834,0.3818355502685556,0.16472801304870643,0.07786860057771496,0.12310403784716356
Сыр-Дарьинская область,0.01953249602059079,0.17020272767952685,0.061085795439694,0.015966233423754826,0.04048571494279619
Забайкальская область,0.11640199027745332,0.38685773060919165,0.2252301170947881,0.038377026592289996,0.13361764307619967
Архангельская губерния,0.20256198558683103,0.5202678886147338,0.36387559224344257,0.11717518823323411,0.23377369162222683
Курляндская губерния,0.7150131301456955,0.6871489012011993,0.712225518924022,0.7051486275885468,0.7085740481934146
Нюландская губерния,,,,,
Енисейская губерния,0.10565824983194586,0.3908784428471471,0.20014516603783683,0.06763080167998436,0.13711565680570925
Якутская область,0.032278728643871456,0.2913308647353518,0.0636761534990007,0.0168939923090503,0.0410923373351119
Тобольская губерния,0.09546612449208289,0.3802475071836613,0.177278633485162,0.05014968102457522,0.11282494663453922
Приморская область,0.17491376753005777,0.4860649201625921,0.3237056181400885,0.0819361627499123,0.24654780241429952
